dex,gen,tier,is_legendary,is_mega,name,stat_total,hp,atk,def,sp_atk,sp_def,spd,type1,type2,weakness,height_m,weight_kg,p_male,capture_rate,experience,egg_steps,happiness,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,
9,1,uu,0,1,mega blastoise,630,79,103,120,135,115,78,water,,18,1.6,101.1,88.1,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
9,1,ru,0,0,blastoise,530,79,83,100,85,105,78,water,,18,1.6,85.5,88.1,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
10,1,unranked,0,0,caterpie,195,45,30,35,20,20,45,bug,,19.5,0.3,2.9,50,255,1000000,3840,70,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,
11,1,unranked,0,0,metapod,205,50,20,55,25,25,30,bug,,19.5,0.7,9.9,50,120,1000000,3840,70,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,
12,1,pu,0,0,butterfree,395,60,45,50,90,80,70,bug,flying,22,1.1,32,50,45,1000000,3840,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,
13,1,unranked,0,0,weedle,195,40,35,30,20,20,50,bug,poison,19,0.3,3.2,50,255,1000000,3840,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
14,1,unranked,0,0,kakuna,205,45,25,50,25,25,35,bug,poison,19,0.6,10,50,120,1000000,3840,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
15,1,uu,0,1,mega beedrill,495,65,150,40,15,80,145,bug,poison,19,1.4,40.5,50,45,1000000,3840,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
15,1,pu,0,0,beedrill,395,65,90,40,45,80,75,bug,poison,19,1,29.5,50,45,1000000,3840,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
16,1,unranked,0,0,pidgey,251,40,45,40,35,35,56,normal,flying,18,0.3,1.8,50,255,1059860,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
17,1,unranked,0,0,pidgeotto,349,63,60,55,50,50,71,normal,flying,18,1.1,30,50,120,1059860,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
18,1,bl,0,1,mega pidgeot,579,83,80,80,135,80,121,normal,flying,18,2.2,50.5,50,45,1059860,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
18,1,pu,0,0,pidgeot,479,83,80,75,70,70,101,normal,flying,18,1.5,39.5,50,45,1059860,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
19,1,unranked,0,0,rattata,253,30,56,35,25,35,72,normal,,18,0.3,3.5,50,255,1000000,3840,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
20,1,unranked,0,0,raticate,413,55,81,60,50,70,97,normal,,18,0.7,18.5,50,127,1000000,3840,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
21,1,unranked,0,0,spearow,262,40,60,30,31,31,70,normal,flying,18,0.3,2,50,255,1000000,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
22,1,pu,0,0,fearow,442,65,90,65,61,61,100,normal,flying,18,1.2,38,50,90,1000000,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
23,1,unranked,0,0,ekans,288,35,60,44,40,54,55,poison,,17.5,2,6.9,50,255,1000000,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
24,1,pu,0,0,arbok,448,60,95,69,65,79,80,poison,,17.5,3.5,65,50,90,1000000,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
25,1,unranked,0,0,pikachu,320,35,55,40,50,50,90,electric,,17.5,0.4,6,50,190,1000000,2560,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
26,1,unranked,0,0,raichu,485,60,90,55,90,80,110,electric,,17.5,0.8,30,50,75,1000000,2560,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
27,1,unranked,0,0,sandshrew,300,50,75,85,20,30,40,ground,,19,0.6,12,50,255,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
28,1,unranked,0,0,sandslash,450,75,100,110,45,55,65,ground,,19,1,29.5,50,90,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
29,1,unranked,0,0,nidoran♀,275,55,47,52,40,40,41,poison,,17.5,0.4,7,0,235,1059860,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
30,1,unranked,0,0,nidorina,365,70,62,67,55,55,56,poison,,17.5,0.8,20,0,120,1059860,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
31,1,uu,0,0,nidoqueen,505,90,92,87,75,85,76,poison,ground,18.25,1.3,60,0,45,1059860,5120,70,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,
32,1,unranked,0,0,nidoran♂,273,46,57,40,40,40,50,poison,,17.5,0.5,9,100,235,1059860,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
33,1,unranked,0,0,nidorino,365,61,72,57,55,55,65,poison,,17.5,0.9,19.5,100,120,1059860,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
34,1,uu,0,0,nidoking,505,81,102,77,85,75,85,poison,ground,18.25,1.4,62,100,45,1059860,5120,70,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,
35,1,pu,0,0,clefairy,323,70,45,48,60,65,35,fairy,,17.5,0.6,7.5,24.6,150,800000,2560,140,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,
36,1,ou,0,0,clefable,483,95,70,73,95,90,60,fairy,,17.5,1.3,40,24.6,25,800000,2560,140,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,
37,1,unranked,0,0,vulpix,299,38,41,40,50,65,65,fire,,18,0.6,9.9,24.6,190,1000000,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
38,1,ru,0,0,ninetales,505,73,76,75,81,100,100,fire,,18,1.1,19.9,24.6,75,1000000,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
39,1,unranked,0,0,jigglypuff,270,115,45,20,45,25,20,normal,fairy,17,0.5,5.5,24.6,170,800000,2560,70,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,
40,1,pu,0,0,wigglytuff,435,140,70,45,85,50,45,normal,fairy,17,1,12,24.6,50,800000,2560,70,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,
41,1,unranked,0,0,zubat,245,40,45,35,30,40,55,poison,flying,17.75,0.8,7.5,50,255,1000000,3840,70,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,
42,1,ru,0,0,golbat,455,75,80,70,65,75,90,poison,flying,17.75,1.6,55,50,90,1000000,3840,70,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,
43,1,unranked,0,0,oddish,320,45,50,55,75,65,30,grass,poison,19.25,0.5,5.4,50,255,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
44,1,unranked,0,0,gloom,395,60,65,70,85,75,40,grass,poison,19.25,0.8,8.6,50,120,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
45,1,nu,0,0,vileplume,490,75,80,85,110,90,50,grass,poison,19.25,1.2,18.6,50,45,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
46,1,unranked,0,0,paras,285,35,70,55,45,55,25,bug,grass,25,0.3,5.4,50,190,1000000,5120,70,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,
47,1,pu,0,0,parasect,405,60,95,80,60,80,30,bug,grass,25,1,29.5,50,75,1000000,5120,70,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,
48,1,unranked,0,0,venonat,305,60,55,50,40,55,45,bug,poison,19,1,30,50,190,1000000,5120,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
49,1,bl2,0,0,venomoth,450,70,65,60,90,75,90,bug,poison,19,1.5,12.5,50,75,1000000,5120,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
50,1,unranked,0,0,diglett,265,10,55,25,35,45,95,ground,,19,0.2,0.8,50,255,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
51,1,unranked,0,0,dugtrio,425,35,100,50,50,70,120,ground,,19,0.7,33.3,50,50,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
52,1,unranked,0,0,meowth,290,40,45,35,40,40,90,normal,,18,0.4,4.2,50,255,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
53,1,unranked,0,0,persian,440,65,70,60,65,65,115,normal,,18,1,32,50,90,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
54,1,unranked,0,0,psyduck,320,50,52,48,65,50,55,water,,18,0.8,19.6,50,190,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
55,1,pu,0,0,golduck,500,80,82,78,95,80,85,water,,18,1.7,76.6,50,75,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
56,1,unranked,0,0,mankey,305,40,80,35,35,45,70,fighting,,19.5,0.5,28,50,190,1000000,5120,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
57,1,nu,0,0,primeape,455,65,105,60,60,70,95,fighting,,19.5,1,32,50,75,1000000,5120,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
58,1,unranked,0,0,growlithe,350,55,70,45,70,50,60,fire,,18,0.7,19,75.4,190,1250000,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
59,1,uu,0,0,arcanine,555,90,110,80,100,80,95,fire,,18,1.9,155,75.4,75,1250000,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
60,1,unranked,0,0,poliwag,300,40,50,40,40,40,90,water,,18,0.6,12.4,50,255,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
61,1,unranked,0,0,poliwhirl,385,65,65,65,50,50,90,water,,18,1,20,50,120,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
62,1,nu,0,0,poliwrath,510,90,95,95,70,90,70,water,fighting,19.5,1.3,54,50,45,1059860,5120,70,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,
63,1,unranked,0,0,abra,310,25,20,15,105,55,90,psychic,,20,0.9,19.5,75.4,200,1059860,5120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
64,1,pu,0,0,kadabra,400,40,35,30,120,70,105,psychic,,20,1.3,56.5,75.4,100,1059860,5120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
65,1,bl,0,1,mega alakazam,600,55,50,65,175,105,150,psychic,,20,1.2,48,75.4,50,1059860,5120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
65,1,bl,0,0,alakazam,500,55,50,45,135,95,120,psychic,,20,1.5,48,75.4,50,1059860,5120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
66,1,unranked,0,0,machop,305,70,80,50,35,35,35,fighting,,19.5,0.8,19.5,75.4,180,1059860,5120,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
67,1,bl4,0,0,machoke,405,80,100,70,50,60,45,fighting,,19.5,1.5,70.5,75.4,90,1059860,5120,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
68,1,uu,0,0,machamp,505,90,130,80,65,85,55,fighting,,19.5,1.6,130,75.4,45,1059860,5120,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
69,1,unranked,0,0,bellsprout,300,50,75,35,70,30,40,grass,poison,19.25,0.7,4,50,255,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
70,1,unranked,0,0,weepinbell,390,65,90,50,85,45,55,grass,poison,19.25,1,6.4,50,120,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
71,1,bl4,0,0,victreebel,490,80,105,65,100,70,70,grass,poison,19.25,1.7,15.5,50,45,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
72,1,unranked,0,0,tentacool,335,40,40,35,50,100,70,water,poison,17,0.9,45.5,50,190,1250000,5120,70,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,
73,1,uu,0,0,tentacruel,515,80,70,65,80,120,100,water,poison,17,1.6,55,50,60,1250000,5120,70,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,
74,1,unranked,0,0,geodude,300,40,80,100,30,30,20,rock,ground,24.25,0.4,20,50,255,1059860,3840,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,
75,1,unranked,0,0,graveler,390,55,95,115,45,45,35,rock,ground,24.25,1,105,50,120,1059860,3840,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,
76,1,unranked,0,0,golem,495,80,120,130,55,65,45,rock,ground,24.25,1.4,300,50,45,1059860,3840,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,
77,1,unranked,0,0,ponyta,410,50,85,55,65,65,90,fire,,18,1,30,50,190,1000000,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
78,1,pu,0,0,rapidash,500,65,100,70,80,80,105,fire,,18,1.7,95,50,60,1000000,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
79,1,unranked,0,0,slowpoke,315,90,65,65,40,40,15,water,psychic,20,1.2,36,50,190,1000000,5120,70,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,
80,1,ou,0,1,mega slowbro,590,95,75,180,130,80,30,water,psychic,20,2,120,50,75,1000000,5120,70,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,
80,1,ou,0,0,slowbro,490,95,75,110,100,80,30,water,psychic,20,1.6,78.5,50,75,1000000,5120,70,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,
81,1,unranked,0,0,magnemite,325,25,35,70,95,55,45,electric,steel,16,0.3,6,,190,1000000,5120,70,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,
82,1,ru,0,0,magneton,465,50,60,95,120,70,70,electric,steel,16,1,60,,60,1000000,5120,70,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,
83,1,pu,0,0,farfetch'd,377,52,90,55,58,62,60,normal,flying,18,0.8,15,50,45,1000000,5120,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
84,1,unranked,0,0,doduo,310,35,85,45,35,35,75,normal,flying,18,1.4,39.2,50,190,1000000,5120,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
85,1,pu,0,0,dodrio,470,60,110,70,60,60,110,normal,flying,18,1.8,85.2,50,45,1000000,5120,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
86,1,unranked,0,0,seel,325,65,45,55,45,70,45,water,,18,1.1,90,50,190,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
87,1,pu,0,0,dewgong,475,90,70,80,70,95,70,water,ice,20.75,1.7,120,50,75,1000000,5120,70,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,
88,1,unranked,0,0,grimer,325,80,80,50,40,50,25,poison,,17.5,0.9,30,50,190,1000000,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
89,1,unranked,0,0,muk,500,105,105,75,65,100,50,poison,,17.5,1.2,30,50,75,1000000,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
90,1,unranked,0,0,shellder,305,30,65,100,45,25,40,water,,18,0.3,4,50,190,1250000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
91,1,uu,0,0,cloyster,525,50,95,180,85,45,70,water,ice,20.75,1.5,132.5,50,60,1250000,5120,70,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,
92,1,unranked,0,0,gastly,310,30,35,30,100,35,80,ghost,poison,17.5,1.3,0.1,50,190,1059860,5120,70,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,
93,1,nu,0,0,haunter,405,45,50,45,115,55,95,ghost,poison,17.5,1.6,0.1,50,90,1059860,5120,70,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,
94,1,uber,0,1,mega gengar,600,60,65,80,170,95,130,ghost,poison,17.5,1.4,40.5,50,45,1059860,5120,70,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,
94,1,ou,0,0,gengar,500,60,65,60,130,75,110,ghost,poison,17.5,1.5,40.5,50,45,1059860,5120,70,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,
95,1,unranked,0,0,onix,385,35,45,160,30,45,70,rock,ground,24.25,8.8,210,50,45,1000000,6400,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,
96,1,unranked,0,0,drowzee,328,60,48,45,43,90,42,psychic,,20,1,32.4,50,190,1000000,5120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
97,1,pu,0,0,hypno,483,85,73,70,73,115,67,psychic,,20,1.6,75.6,50,75,1000000,5120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
98,1,unranked,0,0,krabby,325,30,105,90,25,25,50,water,,18,0.4,6.5,50,225,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
99,1,pu,0,0,kingler,475,55,130,115,50,50,75,water,,18,1.3,60,50,60,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
100,1,unranked,0,0,voltorb,330,40,30,50,55,55,100,electric,,17.5,0.5,10.4,,190,1000000,5120,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
101,1,pu,0,0,electrode,490,60,50,70,80,80,150,electric,,17.5,1.2,66.6,,60,1000000,5120,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
102,1,unranked,0,0,exeggcute,325,60,40,80,60,45,40,grass,psychic,24,0.4,2.5,50,90,1250000,5120,70,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,
103,1,unranked,0,0,exeggutor,530,95,95,85,125,75,55,grass,psychic,24,2,120,50,45,1250000,5120,70,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,
104,1,unranked,0,0,cubone,320,50,50,95,40,50,35,ground,,19,0.4,6.5,50,190,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
105,1,unranked,0,0,marowak,425,60,80,110,50,80,45,ground,,19,1,45,50,75,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
106,1,ru,0,0,hitmonlee,455,50,120,53,35,110,87,fighting,,19.5,1.5,49.8,100,45,1000000,6400,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
107,1,nu,0,0,hitmonchan,455,50,105,79,35,110,76,fighting,,19.5,1.4,50.2,100,45,1000000,6400,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
108,1,unranked,0,0,lickitung,385,90,55,75,60,75,30,normal,,18,1.2,65.5,50,45,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
109,1,unranked,0,0,koffing,340,40,65,95,60,45,35,poison,,17.5,0.6,1,50,190,1000000,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
110,1,nu,0,0,weezing,490,65,90,120,85,70,60,poison,,17.5,1.2,9.5,50,60,1000000,5120,70,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,
111,1,unranked,0,0,rhyhorn,345,80,85,95,30,30,25,ground,rock,24.25,1,115,50,120,1250000,5120,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,
112,1,nu,0,0,rhydon,485,105,130,120,45,45,40,ground,rock,24.25,1.9,120,50,60,1250000,5120,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,
113,1,ou,0,0,chansey,450,250,5,5,35,105,50,normal,,18,1.1,34.6,0,30,800000,10240,140,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
114,1,pu,0,0,tangela,435,65,55,115,100,40,60,grass,,21,1,35,50,45,1000000,5120,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,
115,1,uber,0,1,mega kangaskhan,590,105,125,100,60,100,100,normal,,18,2.2,100,0,45,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
115,1,nu,0,0,kangaskhan,490,105,95,80,40,80,90,normal,,18,2.2,80,0,45,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
116,1,unranked,0,0,horsea,295,30,40,70,70,25,60,water,,18,0.4,8,50,225,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
117,1,unranked,0,0,seadra,440,55,65,95,95,45,85,water,,18,1.2,25,50,75,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
118,1,unranked,0,0,goldeen,320,45,67,60,35,50,63,water,,18,0.6,15,50,225,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
119,1,pu,0,0,seaking,450,80,92,65,65,80,68,water,,18,1.3,39,50,60,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
120,1,unranked,0,0,staryu,340,30,45,55,70,55,85,water,,18,0.8,34.5,,225,1250000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
121,1,ou,0,0,starmie,520,60,75,85,100,85,115,water,psychic,20,1.1,80,,60,1250000,5120,70,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,
