"iq","milk","fem","weeks","social","rank","educ"
95,1,1,0.285714286,2,1,4
95,1,1,0.285714286,3,1,3
98,1,0,0.285714286,1,2,4
98,1,0,0.285714286,3,1,3
98,1,0,0.285714286,3,1,2
100,1,0,0.285714286,1,1,5
100,1,1,0.285714286,1,3,4
100,1,1,0.285714286,4,1,4
101,1,0,0.285714286,3,1,3
102,1,0,0.285714286,3,2,4
102,1,0,0.285714286,4,2,2
104,1,0,0.285714286,1,1,3
105,1,1,0.285714286,3,1,1
105,1,0,0.285714286,4,1,4
107,1,0,0.285714286,4,2,3
108,1,0,0.285714286,2,2,2
110,1,0,0.285714286,1,1,1
110,1,0,0.285714286,4,1,2
111,1,1,0.285714286,4,1,3
113,1,0,0.285714286,1,3,1
118,1,0,0.285714286,3,3,4
119,1,1,0.285714286,2,1,2
119,1,1,0.285714286,3,2,2
119,1,1,0.285714286,4,1,4
121,1,1,0.285714286,3,1,2
126,1,1,0.285714286,4,1,3
127,1,0,0.285714286,3,3,3
55,0,0,0.357142857,4,1,3
92,0,1,0.357142857,4,1,1
94,0,1,0.357142857,2,3,2
98,0,0,0.357142857,3,2,1
100,0,1,0.357142857,3,1,2
102,0,0,0.357142857,4,3,2
77,1,0,0.357142857,2,1,2
77,1,0,0.357142857,4,1,3
80,1,0,0.357142857,1,2,2
85,1,0,0.357142857,1,1,2
86,1,0,0.357142857,4,2,1
87,1,1,0.357142857,3,1,3
88,1,1,0.357142857,3,2,3
90,1,1,0.357142857,1,1,2
90,1,0,0.357142857,2,4,2
91,1,1,0.357142857,2,2,2
92,1,1,0.357142857,4,2,1
92,1,1,0.357142857,4,1,2
96,1,1,0.357142857,3,2,3
99,1,0,0.357142857,2,1,3
100,1,1,0.357142857,2,3,1
101,1,1,0.357142857,3,3,1
102,1,1,0.357142857,4,3,1
110,1,1,0.357142857,1,2,4
118,1,0,0.357142857,4,1,2
120,1,0,0.357142857,1,1,2
124,1,0,0.357142857,3,2,1
69,0,0,0.44625,4,1,1
73,0,0,0.44625,3,2,2
79,0,1,0.44625,4,1,1
79,0,0,0.44625,4,2,2
85,0,0,0.44625,4,2,3
90,0,1,0.44625,2,2,3
93,0,1,0.44625,4,2,2
99,0,1,0.44625,4,1,4
105,0,0,0.44625,4,1,3
114,1,0,0.44625,3,1,2
71,1,0,0.44625,3,2,4
83,1,0,0.44625,4,1,1
85,1,0,0.44625,1,1,3
90,1,1,0.44625,1,3,2
96,1,1,0.44625,2,2,3
99,1,1,0.44625,3,3,4
102,1,1,0.44625,1,2,1
107,1,1,0.44625,1,1,3
112,1,0,0.44625,3,1,3
88,0,0,0.5,3,1,2
101,0,1,0.5,3,1,3
102,0,1,0.5,1,1,4
66,0,0,0.5,4,2,2
80,1,1,0.5,2,2,2
88,1,1,0.5,4,2,1
91,1,1,0.5,4,1,3
95,1,0,0.5,4,2,1
98,1,1,0.5,3,1,4
104,1,1,0.5,3,1,4
109,1,0,0.5,1,3,3
112,1,1,0.5,4,1,2
116,1,1,0.5,1,2,5
120,1,0,0.5,2,1,4
52,0,1,0.571428571,4,2,4
84,0,0,0.571428571,3,2,1
90,0,1,0.571428571,3,2,2
110,1,0,0.571428571,1,2,4
74,1,0,0.571428571,4,4,3
76,1,0,0.571428571,3,1,1
76,1,0,0.571428571,3,2,3
77,1,1,0.571428571,3,1,1
96,1,0,0.571428571,4,2,4
99,1,1,0.571428571,3,1,4
118,1,1,0.571428571,3,1,2
44,0,0,0.642857143,3,2,2
52,0,1,0.642857143,4,1,2
62,0,0,0.642857143,4,2,1
76,1,0,0.642857143,3,2,2
77,1,0,0.642857143,3,1,3
110,1,1,0.642857143,4,1,4
73,1,0,0.714285714,3,1,1
74,1,0,0.714285714,4,3,1
92,1,0,0.714285714,4,1,1
93,1,1,0.714285714,4,1,4
97,1,1,0.714285714,1,2,1
97,1,1,0.714285714,2,1,3
97,1,1,0.714285714,4,1,2
121,1,0,0.714285714,4,1,2
55,0,0,0.785714286,4,1,2
87,0,0,0.785714286,4,2,2
87,0,0,0.785714286,4,1,2
89,0,0,0.785714286,2,1,1
90,0,0,0.785714286,4,1,2
95,0,1,0.785714286,3,4,4
100,0,0,0.785714286,3,4,3
77,1,1,0.785714286,4,1,4
87,1,0,0.785714286,1,1,1
95,1,0,0.785714286,2,1,4
109,1,0,0.785714286,2,2,4
70,0,0,0.857142857,4,1,1
103,0,1,0.857142857,4,2,2
70,1,0,0.857142857,4,2,1
88,1,1,0.857142857,4,2,1
91,1,0,0.857142857,3,1,1
91,1,0,0.857142857,3,1,1
101,1,1,0.857142857,3,2,2
102,1,0,0.857142857,3,2,5
80,0,1,0.93123,3,1,2
81,0,0,0.93123,3,2,3
100,0,0,0.93123,1,2,5
101,0,1,0.93123,2,1,1
79,1,0,0.93123,3,1,1
80,1,1,0.93123,2,3,1
116,1,0,0.93123,3,2,4
73,0,1,1,4,2,1
79,0,0,1,4,2,1
80,0,0,1,4,3,3
110,0,1,1,4,1,2
92,1,1,1,1,1,3
89,0,0,1.071428571,3,2,1
80,1,0,1.071428571,2,1,3
115,1,1,1.071428571,4,2,3
57,0,0,1.142857143,4,2,2
91,0,0,1.142857143,2,1,2
91,0,0,1.142857143,3,2,4
84,1,1,1.142857143,3,2,1
92,1,0,1.142857143,4,3,3
99,1,0,1.142857143,4,3,3
82,0,1,1.214285714,3,1,1
100,0,1,1.214285714,3,1,1
105,0,1,1.214285714,3,2,2
87,1,1,1.214285714,2,1,2
87,0,1,1.285714286,4,1,2
91,0,1,1.285714286,3,3,1
80,1,0,1.285714286,2,1,2
87,1,1,1.285714286,3,1,1
67,0,0,1.357142857,4,1,3
77,0,1,1.428571429,4,1,3
89,0,0,1.571428571,4,1,1
100,0,0,1.571428571,4,2,2
64,0,1,1.714285714,4,3,4
93,0,0,1.714285714,4,1,2
99,0,0,1.714285714,3,1,2
92,1,0,1.785714286,4,3,3
64,0,1,1.857142857,4,2,2
65,0,1,1.857142857,4,3,3
86,0,1,1.857142857,4,1,1
82,1,0,1.928571429,2,2,1
107,1,1,1.928571429,2,1,4
106,1,1,2.071428571,4,3,4
66,0,1,2.285714286,4,2,2
88,0,0,2.285714286,4,2,1
82,1,0,2.5,4,1,4
76,0,1,2.571428571,4,1,2
70,0,1,2.642857143,4,1,2
101,0,0,2.642857143,3,2,2
63,1,1,2.785714286,3,1,2
94,0,0,3.214285714,4,2,4
85,0,1,3.285714286,3,2,3
63,0,1,3.357142857,3,2,1
64,0,1,3.428571429,3,2,2
80,0,0,3.428571429,3,1,1
114,1,1,3.928571429,4,2,4
96,0,0,4.071428571,1,1,3
79,0,0,6.214285714,4,1,1
90,0,1,7.071428571,4,1,1
